,day,icon,Trip ID,precipIntensity,precipProbability,temperature,apparentTemperature,windSpeed,Trip Seconds,Trip Miles,Fare,Trip Total
199,2013-05-21,partly cloudy,4,0.0,0.0,72.05250000000001,72.475,6.73,2100.0,3.75,29.300000000000004,36.542500000000004
200,2013-05-21,rain,1,0.0096,0.79,64.36,64.82,3.85,240.0,0.6,5.05,5.05
201,2013-05-22,cloudy,1,0.0,0.0,67.49,68.12,4.64,180.0,0.0,3.25,3.25
202,2013-05-22,rain,5,0.05449999999999999,0.742,66.16199999999999,66.792,0.556,780.0,14.16,12.29,13.539999999999997
203,2013-05-23,rain,1,0.0106,0.69,52.02,52.02,4.52,180.0,0.9,5.05,5.05
204,2013-05-24,clear,8,0.0,0.0,44.621249999999996,42.325,4.4675,720.0,2.9412499999999997,14.22375,16.575000000000003
205,2013-05-25,cloudy,3,0.0,0.0,51.82333333333333,51.82333333333333,0.7066666666666667,740.0,2.3333333333333335,11.916666666666666,12.916666666666666
206,2013-05-25,partly cloudy,1,0.0,0.0,44.18,44.18,0.51,420.0,1.3,6.45,8.45
207,2013-05-26,partly cloudy,6,0.0,0.0,61.12,61.12,1.6566666666666665,850.0,4.2,14.916666666666666,18.47833333333333
208,2013-05-27,cloudy,2,0.00255,0.29,55.370000000000005,55.370000000000005,2.925,270.0,0.1,5.55,5.55
209,2013-05-28,cloudy,2,0.00015,0.035,70.45,71.2,4.14,1320.0,0.855,21.85,22.85
210,2013-05-28,partly cloudy,2,0.00275,0.28500000000000003,62.42,62.765,2.39,390.0,1.2,6.35,6.85
211,2013-05-29,partly cloudy,3,0.0014999999999999998,0.21333333333333335,67.63666666666667,68.16333333333334,2.1966666666666668,340.0,0.0,6.916666666666667,7.25
212,2013-05-29,rain,3,0.005,0.6833333333333335,65.76666666666667,66.21333333333332,2.263333333333333,460.0,0.9,9.45,9.45
213,2013-05-30,partly cloudy,5,0.0,0.0,78.1,80.18599999999999,7.074,720.0,0.7,10.45,10.45
214,2013-05-31,partly cloudy,5,0.0,0.0,71.748,72.33800000000001,6.176,504.0,1.3800000000000001,7.5699999999999985,7.969999999999999
215,2013-05-31,rain,1,0.0672,0.94,65.47,66.11,4.56,720.0,0.0,8.65,8.65
216,2013-06-01,cloudy,1,0.0,0.0,68.88,69.23,5.81,1560.0,1.6,32.25,52.75
217,2013-06-01,partly cloudy,10,0.00046,0.068,70.424,70.779,6.8,990.0,1.459,12.330000000000002,13.330000000000002
218,2013-06-02,cloudy,2,0.0002,0.11,52.355000000000004,52.355000000000004,3.665,840.0,2.7,12.55,14.075
219,2013-06-03,clear,3,0.0,0.0,48.39333333333334,48.39333333333334,0.13,440.0,0.43333333333333335,6.783333333333334,7.116666666666667
220,2013-06-03,partly cloudy,1,0.0,0.0,61.91,61.91,0.66,180.0,0.8,4.65,6.15
221,2013-06-04,partly cloudy,2,0.0,0.0,56.245000000000005,56.245000000000005,1.7850000000000001,990.0,8.82,20.15,22.15
222,2013-06-05,partly cloudy,5,0.0,0.0,60.908,60.908,2.492,636.0,0.62,9.690000000000001,10.49
223,2013-06-06,cloudy,4,0.0014249999999999998,0.1425,56.85,56.85,1.74,570.0,0.0,11.2,11.95
224,2013-06-06,rain,2,0.018799999999999997,0.7849999999999999,56.605000000000004,56.605000000000004,2.255,990.0,8.5,21.15,22.15
